mes_id,nombre_mes,unidades_producidas,unidades_vendidas,ingresos_ventas,costo_absorcion_vendido_estandar,variacion_capacidad,utilidad_absorcion
1,Enero,8483,7871,7871000.0,4880020.0,-182040.0,2808940.0
2,Febrero,7958,6634,6634000.0,4113080.0,-245040.0,2275880.0
3,Marzo,8529,7085,7085000.0,4392700.0,-176520.0,2515780.0
4,Abril,9706,8575,8575000.0,5316500.0,-35280.0,3223220.0
5,Mayo,10429,9794,9794000.0,6072280.0,51480.0,3773200.0
6,Junio,11679,11725,11725000.0,7269500.0,201480.0,4656980.0
7,Julio,13138,12261,12261000.0,7601820.0,376560.0,5035740.0
8,Agosto,13230,12435,12435000.0,7709700.0,387600.0,5112900.0
9,Septiembre,12524,13211,13211000.0,8190820.0,302880.0,5323060.0
10,Octubre,11912,11509,11509000.0,7135580.0,229440.0,4602860.0
11,Noviembre,10360,10227,10227000.0,6340740.0,43200.0,3929460.0
12,Diciembre,9110,8230,8230000.0,5102600.0,-106800.0,3020600.0
