mes_id,nombre_mes,unidades_vendidas,ingresos_ventas,costo_variable_total,margen_contribucion_total,costos_fijos_periodo,utilidad_variable
1,Enero,7871,7871000.0,3935500.0,3935500.0,1200000.0,2735500.0
2,Febrero,6634,6634000.0,3317000.0,3317000.0,1200000.0,2117000.0
3,Marzo,7085,7085000.0,3542500.0,3542500.0,1200000.0,2342500.0
4,Abril,8575,8575000.0,4287500.0,4287500.0,1200000.0,3087500.0
5,Mayo,9794,9794000.0,4897000.0,4897000.0,1200000.0,3697000.0
6,Junio,11725,11725000.0,5862500.0,5862500.0,1200000.0,4662500.0
7,Julio,12261,12261000.0,6130500.0,6130500.0,1200000.0,4930500.0
8,Agosto,12435,12435000.0,6217500.0,6217500.0,1200000.0,5017500.0
9,Septiembre,13211,13211000.0,6605500.0,6605500.0,1200000.0,5405500.0
10,Octubre,11509,11509000.0,5754500.0,5754500.0,1200000.0,4554500.0
11,Noviembre,10227,10227000.0,5113500.0,5113500.0,1200000.0,3913500.0
12,Diciembre,8230,8230000.0,4115000.0,4115000.0,1200000.0,2915000.0
